epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7078974843025208,0.5140753984451294,0.001,0.7046568393707275,0.3710393011569977
1,0.7679790258407593,0.4367463290691376,0.0009048374,0.853233814239502,0.34747782349586487
2,0.8320209980010986,0.375544935464859,0.00081873074,0.8656716346740723,0.3345910310745239
3,0.8755905628204346,0.3020753264427185,0.0007408182,0.8980099558830261,0.2589050531387329
4,0.9083989262580872,0.2335807830095291,0.00067032006,0.9328358173370361,0.18398818373680115
5,0.9165354371070862,0.22260035574436188,0.00060653064,0.9452736377716064,0.17741374671459198
6,0.9370078444480896,0.17853768169879913,0.00054881163,0.9465174078941345,0.17584101855754852
7,0.9296587705612183,0.18032722175121307,0.00049658533,0.9552238583564758,0.15690237283706665
8,0.9362204670906067,0.15282480418682098,0.00044932897,0.9514925479888916,0.13985992968082428
9,0.9417322874069214,0.1592942178249359,0.00040656966,0.9502487778663635,0.13666264712810516
10,0.9501312375068665,0.14190182089805603,0.00036787943,0.9577114582061768,0.12734226882457733
11,0.9501312375068665,0.13570445775985718,0.00033287107,0.9589552283287048,0.11832116544246674
12,0.9587926268577576,0.1182054653763771,0.0003011942,0.9589552283287048,0.12252052128314972
13,0.9574803113937378,0.11319954693317413,0.0002725318,0.9589552283287048,0.11013877391815186
14,0.9650918841362,0.10281223058700562,0.00024659696,0.9589552283287048,0.11919628828763962
15,0.9611548781394958,0.10629614442586899,0.00022313016,0.9589552283287048,0.123286172747612
16,0.9661417603492737,0.09521599858999252,0.00020189652,0.9589552283287048,0.11295627057552338
17,0.9643044471740723,0.09267593175172806,0.00018268352,0.9577114582061768,0.11915012449026108
18,0.9666666388511658,0.08812832832336426,0.00016529889,0.961442768573761,0.12215468287467957
19,0.9627296328544617,0.08679571002721786,0.00014956862,0.9639303684234619,0.11793860793113708
20,0.969816267490387,0.07606756687164307,0.00013533529,0.96517413854599,0.10451628267765045
21,0.969816267490387,0.07926350831985474,0.00012245643,0.9639303684234619,0.09535737335681915
22,0.9719160199165344,0.07256247848272324,0.00011080316,0.9689054489135742,0.11596900969743729
23,0.9737532734870911,0.07071281224489212,0.00010025885,0.9664179086685181,0.10339012742042542
24,0.9737532734870911,0.07816536724567413,9.071796e-05,0.96517413854599,0.1008216068148613
25,0.9708661437034607,0.07060973346233368,8.2085e-05,0.96517413854599,0.10336367040872574
26,0.9761154651641846,0.06902243196964264,7.427358e-05,0.9676616787910461,0.09919998049736023
27,0.9740157723426819,0.07524003088474274,6.720551e-05,0.9689054489135742,0.09698919206857681
28,0.9706036448478699,0.06875589489936829,6.0810064e-05,0.9664179086685181,0.1056557446718216
29,0.9748031497001648,0.06867014616727829,5.502322e-05,0.9701492786407471,0.0941256508231163
